CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.apache.commons.net.time.TimeUDPClient;0.0;10.0;2.0;7.0;4.0;4.0;86.0;0.625;0.8333333333333334;10.0;3.0
examples.mail.IMAPUtils;0.0;18.0;1.0;16.0;11.0;0.0;66.0;1.0;0.0;18.0;4.0
org.apache.commons.net.tftp.TFTPErrorPacket;0.0;13.0;2.0;13.0;5.0;1.0;191.0;0.84;1.05;13.0;3.0
examples.ftp.TFTPExample;0.0;24.0;1.0;28.0;34.0;10.0;249.0;0.8;1.0;24.0;1.0
org.apache.commons.net.telnet.Telnet;6.0;27.0;2.0;99.0;175.0;784.0;1236.0;0.9234567901234568;0.9444444444444445;27.0;4.0
org.apache.commons.net.tftp.TFTPDataPacket;0.0;12.0;2.0;15.0;11.0;13.0;224.0;0.6481481481481481;0.7291666666666667;12.0;3.0
org.apache.commons.net.io.ToNetASCIIOutputStream;0.0;10.0;3.0;5.0;9.0;3.0;84.0;0.6666666666666667;1.0;10.0;2.0
org.apache.commons.net.io.CopyStreamEvent;0.0;8.0;2.0;6.0;4.0;3.0;76.0;0.7;0.9333333333333332;8.0;6.0
org.apache.commons.net.daytime.DaytimeUDPClient;0.0;9.0;2.0;8.0;2.0;1.0;41.0;0.5;1.0;9.0;2.0
org.apache.commons.net.telnet.InvalidTelnetOptionException;0.0;6.0;3.0;1.0;1.0;0.0;36.0;0.33333333333333337;0.33333333333333337;6.0;4.0
org.apache.commons.net.io.CopyStreamAdapter;0.0;10.0;1.0;8.0;2.0;0.0;76.0;0.0;0.0;10.0;2.0
examples.unix.daytime;0.0;15.0;1.0;18.0;7.0;3.0;61.0;1.0;0.0;15.0;1.0
org.apache.commons.net.imap.IMAPSClient;1.0;33.0;4.0;42.0;21.0;109.0;330.0;0.8977272727272727;0.9575757575757575;33.0;3.0
examples.unix.finger;0.0;15.0;1.0;18.0;14.0;0.0;110.0;1.0;0.0;15.0;1.0
org.apache.commons.net.smtp.SMTP;3.0;28.0;2.0;58.0;47.0;418.0;695.0;0.9299999999999999;0.9620689655172413;27.0;5.0
org.apache.commons.net.smtp.SimpleSMTPHeader;0.0;16.0;1.0;10.0;12.0;1.0;118.0;0.5;0.75;16.0;2.0
org.apache.commons.net.tftp.TFTPAckPacket;0.0;11.0;2.0;10.0;4.0;0.0;125.0;0.0;0.0;11.0;3.0
org.apache.commons.net.nntp.NewGroupsOrNewsQuery;0.0;13.0;1.0;12.0;11.0;26.0;235.0;0.825;0.9428571428571428;13.0;2.0
org.apache.commons.net.io.DotTerminatedMessageReader;0.0;13.0;3.0;13.0;51.0;7.0;210.0;0.6666666666666667;0.8333333333333333;13.0;4.0
org.apache.commons.net.telnet.TerminalTypeOptionHandler;0.0;8.0;2.0;3.0;12.0;0.0;88.0;0.0;0.0;8.0;2.0
org.apache.commons.net.util.TrustManagerUtils;0.0;15.0;1.0;7.0;3.0;3.0;83.0;0.7777777777777778;1.1666666666666667;15.0;3.0
examples.unix.rdate;0.0;16.0;1.0;18.0;7.0;3.0;60.0;1.0;0.0;16.0;1.0
org.apache.commons.net.PrintCommandListener;0.0;14.0;1.0;17.0;16.0;2.0;169.0;0.5;0.75;14.0;11.0
org.apache.commons.net.io.ToNetASCIIInputStream;0.0;9.0;3.0;8.0;31.0;9.0;149.0;0.7;0.875;9.0;2.0
org.apache.commons.net.ftp.FTPHTTPClient;0.0;33.0;4.0;39.0;32.0;4.0;159.0;0.6428571428571428;0.8571428571428571;32.0;2.0
org.apache.commons.net.ftp.parser.OS2FTPEntryParser;0.0;12.0;4.0;12.0;7.0;1.0;115.0;0.75;1.5;12.0;2.0
org.apache.commons.net.tftp.TFTP;7.0;16.0;2.0;19.0;4.0;28.0;269.0;0.8611111111111112;0.96875;16.0;5.0
org.apache.commons.net.imap.IMAPClient;1.0;18.0;3.0;44.0;53.0;324.0;585.0;0.9615384615384616;1.0;18.0;6.0
org.apache.commons.net.telnet.SuppressGAOptionHandler;0.0;4.0;2.0;0.0;0.0;0.0;28.0;1.0;0.0;4.0;2.0
org.apache.commons.net.ftp.FTPFile;3.0;18.0;1.0;56.0;50.0;403.0;502.0;0.9380952380952381;0.9704433497536946;18.0;18.0
examples.mail.POP3Mail;0.0;23.0;1.0;27.0;32.0;1.0;136.0;1.0;0.0;23.0;1.0
org.apache.commons.net.nntp.ThreadContainer;0.0;8.0;1.0;9.0;22.0;0.0;77.0;0.41666666666666663;0.625;8.0;2.0
org.apache.commons.net.util.Base64;0.0;18.0;1.0;64.0;169.0;615.0;996.0;0.9318448883666275;0.9577294685990339;18.0;6.0
org.apache.commons.net.daytime.DaytimeTCPClient;0.0;10.0;2.0;5.0;5.0;0.0;50.0;0.5;0.5;10.0;2.0
examples.Main;0.0;26.0;1.0;27.0;20.0;1.0;80.0;1.0;0.0;24.0;1.0
org.apache.commons.net.util.KeyManagerUtils$X509KeyManager;0.0;11.0;2.0;9.0;6.0;9.0;41.0;0.33333333333333337;0.4;0.0;1.0
org.apache.commons.net.SocketClient;12.0;23.0;1.0;92.0;58.0;1047.0;829.0;0.9366666666666666;0.9557823129251701;23.0;55.0
org.apache.commons.net.ftp.parser.ConfigurableFTPFileEntryParserImpl;8.0;14.0;3.0;10.0;8.0;2.0;86.0;0.33333333333333337;0.5;14.0;10.0
org.apache.commons.net.ftp.parser.MacOsPeterFTPEntryParser;0.0;16.0;4.0;23.0;33.0;1.0;246.0;0.6666666666666667;1.3333333333333335;16.0;2.0
org.apache.commons.net.bsd.RLoginClient;0.0;9.0;4.0;3.0;0.0;1.0;67.0;1.0;2.0;9.0;2.0
org.apache.commons.net.nntp.NNTPClient;0.0;40.0;3.0;170.0;180.0;3013.0;1790.0;1.0;0.0;35.0;9.0
org.apache.commons.net.util.KeyManagerUtils;0.0;25.0;1.0;18.0;8.0;14.0;180.0;0.6666666666666667;0.8;24.0;1.0
org.apache.commons.net.telnet.TelnetOptionHandler;5.0;6.0;1.0;16.0;10.0;114.0;254.0;0.8839285714285714;0.9428571428571428;6.0;8.0
org.apache.commons.net.ProtocolCommandEvent;0.0;8.0;2.0;6.0;5.0;10.0;112.0;0.84;1.05;8.0;5.0
org.apache.commons.net.ftp.parser.DefaultFTPFileEntryParserFactory;0.0;30.0;1.0;25.0;60.0;66.0;256.0;0.9722222222222222;1.0606060606060606;29.0;2.0
org.apache.commons.net.ntp.NtpUtils;0.0;10.0;1.0;9.0;36.0;6.0;90.0;1.0;0.0;10.0;4.0
org.apache.commons.net.telnet.EchoOptionHandler;0.0;4.0;2.0;0.0;0.0;0.0;28.0;1.0;0.0;4.0;2.0
org.apache.commons.net.io.DotTerminatedMessageWriter;0.0;10.0;2.0;13.0;20.0;18.0;179.0;0.7142857142857143;0.8333333333333334;10.0;3.0
examples.mail.Utils;0.0;12.0;1.0;7.0;9.0;0.0;40.0;1.0;0.0;12.0;3.0
org.apache.commons.net.io.Util;0.0;20.0;1.0;23.0;31.0;29.0;351.0;0.5555555555555556;0.625;20.0;8.0
org.apache.commons.net.ftp.parser.ParserInitializationException;0.0;6.0;3.0;2.0;1.0;0.0;36.0;1.0;1.0;6.0;3.0
org.apache.commons.net.ftp.FTPClientConfig;0.0;15.0;1.0;27.0;20.0;163.0;570.0;0.9552631578947368;1.0083333333333333;14.0;18.0
org.apache.commons.net.io.FromNetASCIIOutputStream;0.0;11.0;3.0;10.0;19.0;6.0;135.0;0.6;0.75;11.0;2.0
org.apache.commons.net.tftp.TFTPReadRequestPacket;0.0;10.0;3.0;5.0;1.0;0.0;41.0;1.0;0.0;10.0;3.0
org.apache.commons.net.pop3.POP3Command;0.0;6.0;1.0;1.0;1.0;0.0;63.0;0.9375;0.9375;6.0;4.0
examples.unix.echo;0.0;24.0;1.0;24.0;13.0;3.0;124.0;1.0;0.0;24.0;1.0
org.apache.commons.net.nntp.ArticlePointer;0.0;5.0;1.0;0.0;0.0;0.0;10.0;1.0;0.0;5.0;2.0
org.apache.commons.net.util.SubnetUtils$SubnetInfo;0.0;12.0;1.0;47.0;35.0;228.0;153.0;0.8636363636363636;0.9047619047619048;0.0;2.0
org.apache.commons.net.telnet.TelnetOutputStream;0.0;13.0;2.0;11.0;24.0;4.0;129.0;0.6;0.75;13.0;2.0
org.apache.commons.net.ftp.parser.OS400FTPEntryParser;0.0;15.0;4.0;22.0;39.0;3.0;200.0;0.8333333333333334;1.25;15.0;2.0
org.apache.commons.net.discard.DiscardUDPClient;1.0;9.0;2.0;9.0;0.0;2.0;63.0;0.5;0.75;9.0;2.0
org.apache.commons.net.telnet.SimpleOptionHandler;0.0;4.0;2.0;0.0;0.0;0.0;34.0;1.0;0.0;4.0;2.0
org.apache.commons.net.tftp.TFTPRequestPacket;2.0;15.0;2.0;11.0;4.0;1.0;201.0;0.5;0.6666666666666666;15.0;4.0
org.apache.commons.net.util.ListenerList;0.0;12.0;1.0;8.0;2.0;0.0;37.0;0.5;0.6666666666666666;11.0;3.0
org.apache.commons.net.DefaultDatagramSocketFactory;0.0;8.0;1.0;3.0;3.0;3.0;41.0;1.0;0.0;8.0;2.0
examples.nntp.ArticleReader;0.0;18.0;1.0;14.0;16.0;0.0;58.0;1.0;0.0;18.0;1.0
org.apache.commons.net.discard.DiscardTCPClient;1.0;4.0;2.0;1.0;1.0;0.0;26.0;1.0;1.0;4.0;3.0
examples.unix.rlogin;0.0;14.0;1.0;10.0;2.0;0.0;67.0;1.0;0.0;14.0;1.0
org.apache.commons.net.nntp.NNTPConnectionClosedException;0.0;4.0;3.0;0.0;0.0;0.0;20.0;1.0;0.0;4.0;2.0
org.apache.commons.net.ftp.FTPFileFilters;0.0;10.0;1.0;0.0;0.0;0.0;31.0;1.0;0.0;10.0;3.0
examples.unix.rexec;0.0;13.0;1.0;10.0;2.0;0.0;67.0;1.0;0.0;13.0;1.0
org.apache.commons.net.nntp.ArticleInfo;0.0;4.0;1.0;0.0;0.0;0.0;7.0;1.0;0.0;4.0;2.0
org.apache.commons.net.ftp.FTPSSocketFactory;0.0;15.0;2.0;21.0;9.0;8.0;77.0;0.11111111111111116;0.125;15.0;2.0
org.apache.commons.net.ntp.NtpV3Impl;0.0;21.0;1.0;86.0;72.0;839.0;671.0;0.933806146572104;0.9541062801932366;21.0;3.0
examples.nntp.ExtendedNNTPOps;0.0;20.0;1.0;16.0;12.0;1.0;64.0;0.5;1.0;20.0;1.0
