CLASS_QNAME;CK_NOC;CK_CBO;CK_DIT;CK_RFC;CK_WMC;CK_LCOM;OO_LoC;OO_LCOM2;OO_LCOM3;OO_Ce;OO_Ca
org.jsoup.parser.Token$EOF;0.0;4.0;2.0;1.0;1.0;0.0;8.0;1.0;0.0;0.0;1.0
org.jsoup.select.Evaluator$AttributeWithValueStarting;0.0;9.0;3.0;7.0;3.0;0.0;14.0;1.0;0.0;0.0;3.0
org.jsoup.examples.HtmlToPlainText;0.0;25.0;1.0;12.0;8.0;1.0;99.0;0.5;1.0;25.0;1.0
org.jsoup.select.QueryParser;0.0;69.0;1.0;84.0;140.0;27.0;362.0;0.7214285714285714;0.7593984962406015;68.0;4.0
org.jsoup.select.Evaluator$Matches;0.0;8.0;2.0;6.0;2.0;0.0;16.0;0.0;0.0;0.0;3.0
org.jsoup.safety.Whitelist$AttributeValue;0.0;4.0;2.0;1.0;1.0;0.0;7.0;1.0;0.0;0.0;1.0
org.jsoup.UncheckedIOException;0.0;4.0;3.0;2.0;1.0;0.0;7.0;1.0;0.0;4.0;5.0
org.jsoup.parser.ParseSettings;0.0;6.0;1.0;6.0;6.0;2.0;47.0;0.75;1.125;6.0;8.0
org.jsoup.helper.W3CDom$W3CBuilder;0.0;25.0;1.0;32.0;23.0;3.0;86.0;0.6;0.7999999999999999;0.0;1.0
org.jsoup.select.Evaluator$ContainsOwnText;0.0;7.0;2.0;6.0;2.0;0.0;15.0;0.0;0.0;0.0;3.0
org.jsoup.select.Evaluator$MatchText;0.0;11.0;2.0;9.0;5.0;1.0;20.0;1.0;0.0;0.0;2.0
org.jsoup.select.Evaluator;2.0;64.0;1.0;1.0;0.0;0.0;753.0;1.0;0.0;62.0;8.0
org.jsoup.select.Evaluator$IsRoot;0.0;8.0;2.0;3.0;3.0;1.0;9.0;1.0;0.0;0.0;2.0
org.jsoup.select.Evaluator$IsLastChild;0.0;10.0;2.0;6.0;5.0;1.0;10.0;1.0;0.0;0.0;2.0
org.jsoup.select.Evaluator$IsNthLastChild;0.0;8.0;3.0;6.0;2.0;1.0;13.0;1.0;0.0;0.0;2.0
org.jsoup.select.StructuralEvaluator$ImmediateParent;0.0;8.0;3.0;5.0;6.0;1.0;16.0;1.0;0.0;0.0;2.0
org.jsoup.select.Evaluator$IndexEvaluator;0.0;3.0;2.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;1.0
org.jsoup.safety.Cleaner;0.0;26.0;1.0;24.0;15.0;10.0;139.0;0.8;1.0;25.0;2.0
org.jsoup.nodes.Element;3.0;82.0;2.0;224.0;271.0;5183.0;1430.0;0.9464285714285714;0.955617198335645;73.0;25.0
org.jsoup.helper.HttpConnection;0.0;101.0;1.0;81.0;59.0;317.0;1212.0;0.9073170731707317;0.93;88.0;3.0
org.jsoup.select.Evaluator$MatchesOwn;0.0;8.0;2.0;6.0;2.0;0.0;16.0;0.0;0.0;0.0;3.0
